ID,Location,x,y
1311,Yarraman,151.9796,-26.84046
1312,Peachester,152.8871,-26.84242
1313,Beerwah,152.954,-26.85293
1314,Blackbutt,152.1042,-26.88722
1315,Glass House Mountain,152.9507,-26.89771
1316,Bell,151.4491,-26.93176
1317,Beerburrum - North,152.957,-26.93545
1318,Kilcoy,152.5638,-26.94019
1319,Woodford,152.778,-26.95557
1320,Beerburrum,152.955,-26.96138
1321,D'Aguilar,152.7984,-26.98884
1322,Delaneys Creek,152.7971,-27.00308
1323,Donnybrook,153.0662,-27.00662
1324,Toorbul,153.0991,-27.03348
1325,Wamuran,152.8643,-27.04069
1326,Ningi,153.1051,-27.06703
1327,Woorim,153.2035,-27.07303
1328,Sandstone Point,153.1273,-27.08295
1329,Bongaree,153.1626,-27.08546
1330,Toogoolawah,152.3753,-27.08821
1331,Beachmere,153.0514,-27.12968
1332,Surat,149.0666,-27.15384
1333,Dalby,151.261,-27.18328
1334,Dayboro,152.8215,-27.19792
1335,Esk,152.4179,-27.23674
1336,Crows Nest,152.0506,-27.26153
1337,Tara,150.4556,-27.27772
1338,Goombungee,151.8502,-27.30485
1339,Mount Glorious,152.7701,-27.33397
1340,Samford Valley - Highvale,152.8394,-27.36508
1341,Samford,152.8849,-27.37146
1342,Mount Nebo,152.7795,-27.39084
1343,Coominya,152.5023,-27.3916
1344,Amity Point,153.44,-27.39664
1345,Meringandan West,151.8819,-27.41789
1346,Meringandan,151.9132,-27.42327
1347,Point Lookout,153.5377,-27.43022
1348,Oakey,151.7183,-27.43202
1349,Fernvale,152.6594,-27.45012
1350,Lowood,152.5763,-27.46078
1351,Murphys Creek,152.0567,-27.46123
1352,Highfields,151.9481,-27.46253
1353,Brisbane,153.0249,-27.47072
1354,Kingsthorpe,151.8191,-27.47543
1355,Gowrie Junction,151.8928,-27.49125
1356,Lockrose,152.4579,-27.49448
1357,Dunwich,153.4038,-27.49776
1358,Blue Mountain Heights,151.9612,-27.50364
1359,Gowrie Mountain,151.8228,-27.51137
1360,Brightview,152.4916,-27.51975
1361,Cecil Plains,151.1936,-27.53233
1362,Minden Village,152.5591,-27.5357
1363,Kensington Grove - Regency Downs,152.4572,-27.53986
1364,Glenore Grove,152.4122,-27.54114
1365,Helidon,152.1254,-27.54838
